Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Timestamp
0,53.0,-304.5,-82.5,-0.1656494140625,-0.6126708984375,-0.8302001953125,-35.89349635459686,9.11914632977975,1,-2222.5,-496.0,-334.0,1.0360107421875,-0.2113037109375,0.39892578125,-10.776297129027611,-66.45346924310638,2,-451.0,307.0,34.0,-0.5860595703125,-0.3656005859375,-0.7481689453125,-21.041595603890464,35.13928501965479,3,37.5,204.5,-38.5,0.29296875,0.4329833984375,-0.761474609375,27.95439133437924,-18.492530788833626,2021-03-23 09:14:58.836761
0,55.5,-301.0,-71.0,-0.174560546875,-0.616455078125,-0.8397216796875,-35.7068804409816,9.512628926701474,1,-2217.6666666666665,-484.6666666666667,-342.3333333333333,1.0361328125,-0.218994140625,0.3968098958333333,-11.16521617153578,-66.37472242440647,2,-440.5,288.5,23.0,-0.587890625,-0.361572265625,-0.7427978515625,-20.891405905997324,35.43648510287046,3,42.0,215.0,-13.5,0.2911376953125,0.4305419921875,-0.7725830078125,27.542093016770444,-18.221252775808896,2021-03-23 09:14:59.339299
0,60.0,-294.0,-82.5,-0.16455078125,-0.6141357421875,-0.82470703125,-36.139043608381414,9.091191181757726,1,-2222.5,-471.0,-348.5,1.0374755859375,-0.2205810546875,0.39990234375,-11.220975071509198,-66.24053298017768,2,-449.0,325.0,7.0,-0.5916748046875,-0.3670654296875,-0.738525390625,-21.2005725654489,35.65710570483816,3,55.5,206.0,-159.5,0.293212890625,0.4329833984375,-0.7572021484375,28.068810764884645,-18.5811067973788,2021-03-23 09:14:59.839789
0,54.5,-321.5,-89.5,-0.1734619140625,-0.6148681640625,-0.815185546875,-36.41791745762734,9.641493485268596,1,-2209.0,-498.5,-353.0,1.0357666015625,-0.2205810546875,0.4017333984375,-11.230148142100495,-66.13145051310164,2,-431.5,327.5,39.5,-0.595458984375,-0.3643798828125,-0.74072265625,-20.976428600286184,35.80390463489519,3,62.333333333333336,208.0,56.666666666666664,0.2992350260416667,0.432373046875,-0.767578125,27.692169847591373,-18.76209713359594,2021-03-23 09:15:00.342308
0,47.0,-288.5,-105.0,-0.17431640625,-0.614013671875,-0.8192138671875,-36.246107714411636,9.662932532886561,1,-2227.0,-475.0,-331.5,1.038330078125,-0.2186279296875,0.400634765625,-11.113637654424931,-66.27176498753852,2,-444.0,308.3333333333333,33.0,-0.587646484375,-0.36669921875,-0.7435709635416666,-21.15131564881632,35.329684000764594,3,65.5,205.0,-21.5,0.286865234375,0.4285888671875,-0.774169921875,27.435658982234276,-17.96052542782791,2021-03-23 09:15:00.843136
0,64.0,-299.6666666666667,-93.66666666666667,-0.17488606770833334,-0.6190592447916666,-0.8233235677083334,-36.3344200419117,9.635071272490064,1,-2230.6666666666665,-499.0,-359.6666666666667,1.0362141927083333,-0.21419270833333334,0.3994140625,-10.916898062465313,-66.37493570106015,2,-457.5,310.0,32.5,-0.586669921875,-0.35400390625,-0.7421875,-20.513355205226226,35.507917581272515,3,40.5,209.0,-74.0,0.29345703125,0.43212890625,-0.7586669921875,27.97913637235303,-18.57782022723032,2021-03-23 09:15:01.345598
0,33.5,-313.0,-85.0,-0.175537109375,-0.6163330078125,-0.836181640625,-35.80539322908886,9.591614174923542,1,-2211.0,-481.5,-318.5,1.03564453125,-0.21484375,0.4034423828125,-10.940315403143906,-66.18568885772879,2,-441.0,298.0,44.0,-0.587890625,-0.36328125,-0.7451171875,-20.94451925181854,35.34467261189701,3,40.333333333333336,210.33333333333334,-46.0,0.292236328125,0.4298502604166667,-0.7647298177083334,27.701953958537562,-18.424380380042667,2021-03-23 09:15:01.848076
0,42.0,-286.0,-59.0,-0.1627197265625,-0.614990234375,-0.8175048828125,-36.41946474367151,9.03791201906079,1,-2227.0,-478.5,-352.5,1.0364990234375,-0.2213134765625,0.40234375,-11.25752866371737,-66.10512189886812,2,-429.3333333333333,306.0,9.0,-0.5857747395833334,-0.3611653645833333,-0.7443033854166666,-20.872397767384477,35.300442294967056,3,46.0,204.5,-13.0,0.286865234375,0.426025390625,-0.7593994140625,27.690471597241782,-18.234593172806623,2021-03-23 09:15:02.350602
0,51.5,-299.0,-73.5,-0.172119140625,-0.6121826171875,-0.8243408203125,-36.0153086121941,9.515733576921914,1,-2215.0,-616.5,-359.5,1.0374755859375,-0.2198486328125,0.3994140625,-11.186380994568868,-66.27673070956348,2,-448.0,293.0,48.0,-0.5911865234375,-0.359130859375,-0.7421875,-20.730893687428363,35.64090985475511,3,41.0,227.0,-46.5,0.2982177734375,0.4327392578125,-0.7554931640625,28.04661432333237,-18.90697731009368,2021-03-23 09:15:02.852605
0,42.5,-299.0,-74.5,-0.1820068359375,-0.6173095703125,-0.826171875,-36.11755372030176,10.00822655138394,1,-2221.0,-474.5,-367.5,1.0377197265625,-0.213134765625,0.4017333984375,-10.841812361229522,-66.33190313325487,2,-449.5,318.0,23.5,-0.5860595703125,-0.365478515625,-0.736328125,-21.224206889854003,35.48612157978147,3,38.0,187.5,-49.5,0.2913818359375,0.4400634765625,-0.7574462890625,28.467479173325163,-18.39797339427148,2021-03-23 09:15:03.357503
